epoch	metric	loss	iter	time	train_time	validation_time	epoch_time
0	0.0000	3.0255	0	0.02 hr	52.14s	14.86s	67.02s
1	0.0351	2.0796	204	0.03 hr	32.58s	13.94s	46.54s
2	0.0930	1.7931	408	0.04 hr	32.56s	13.96s	46.54s
3	0.1861	1.5653	612	0.06 hr	32.81s	13.99s	46.83s
4	0.1998	1.3570	816	0.07 hr	32.71s	13.97s	46.69s
5	0.2258	1.2238	1020	0.08 hr	32.58s	13.98s	46.57s
6	0.3058	1.1478	1224	0.10 hr	32.66s	13.98s	46.66s
7	0.3388	1.1139	1428	0.11 hr	32.63s	13.99s	46.64s
8	0.2756	1.0769	1632	0.12 hr	32.68s	13.97s	46.67s
9	0.3104	1.0352	1836	0.14 hr	32.63s	14.00s	46.65s
10	0.5001	1.0291	2040	0.15 hr	32.77s	13.99s	46.78s
11	0.5854	1.0376	2244	0.16 hr	32.58s	13.99s	46.59s
12	0.5160	1.0104	2448	0.18 hr	32.60s	14.00s	46.62s
13	0.3518	0.9944	2652	0.19 hr	32.60s	14.00s	46.62s
14	0.3464	0.9650	2856	0.20 hr	32.45s	14.02s	46.49s
15	0.4883	0.9686	3060	0.22 hr	32.67s	14.01s	46.69s
16	0.4078	0.9500	3264	0.23 hr	32.80s	13.97s	46.79s
17	0.6954	0.8668	3468	0.24 hr	32.81s	14.03s	46.86s
18	0.6902	0.8202	3672	0.25 hr	32.66s	14.00s	46.68s
19	0.2697	0.8415	3876	0.27 hr	32.75s	14.00s	46.77s
20	0.4234	0.8290	4080	0.28 hr	32.46s	14.02s	46.50s
21	0.5983	0.7802	4284	0.29 hr	32.51s	14.00s	46.53s
22	0.7142	0.7077	4488	0.31 hr	32.80s	13.99s	46.80s
23	0.7690	0.7964	4692	0.32 hr	32.40s	13.98s	46.40s
24	0.5102	0.7135	4896	0.33 hr	32.96s	14.00s	46.97s
25	0.6955	0.6601	5100	0.35 hr	32.45s	14.00s	46.47s
26	0.7683	0.6737	5304	0.36 hr	32.51s	14.00s	46.53s
27	0.5563	0.6313	5508	0.37 hr	32.60s	14.00s	46.62s
28	0.7379	0.7401	5712	0.39 hr	32.49s	14.00s	46.51s
29	0.7733	0.6238	5916	0.40 hr	32.65s	14.01s	46.68s
30	0.7973	0.5560	6120	0.41 hr	32.59s	14.00s	46.61s
31	0.7821	0.6234	6324	0.42 hr	32.49s	13.98s	46.49s
32	0.7598	0.7185	6528	0.44 hr	32.66s	14.21s	46.88s
33	0.7932	0.6486	6732	0.45 hr	32.78s	13.97s	46.77s
34	0.7540	0.5308	6936	0.46 hr	32.63s	13.98s	46.63s
35	0.7541	0.5329	7140	0.48 hr	32.49s	14.00s	46.52s
36	0.8062	0.5595	7344	0.49 hr	32.58s	13.98s	46.58s
37	0.8121	0.5824	7548	0.50 hr	32.46s	14.10s	46.58s
38	0.7689	0.5089	7752	0.52 hr	32.64s	13.96s	46.63s
39	0.6928	0.5500	7956	0.53 hr	32.76s	14.00s	46.78s
40	0.7620	0.5292	8160	0.54 hr	32.97s	13.98s	46.96s
41	0.8172	0.4256	8364	0.56 hr	32.45s	13.99s	46.46s
42	0.8070	0.4478	8568	0.57 hr	32.55s	13.98s	46.55s
43	0.7511	0.6941	8772	0.58 hr	32.46s	14.00s	46.49s
44	0.7796	0.6749	8976	0.59 hr	32.65s	14.01s	46.68s
