epoch	metric	loss	iter	time	train_time	validation_time	epoch_time
0	0.0000	3.0562	0	0.02 hr	49.52s	16.50s	66.04s
1	0.0208	2.0721	204	0.03 hr	32.56s	15.45s	48.03s
2	0.1164	1.8045	408	0.05 hr	32.58s	15.42s	48.02s
3	0.2162	1.5701	612	0.06 hr	32.63s	15.44s	48.09s
4	0.3346	1.3598	816	0.07 hr	32.74s	15.44s	48.20s
5	0.4074	1.2228	1020	0.09 hr	33.40s	15.43s	48.85s
6	0.1960	1.1357	1224	0.10 hr	32.65s	15.45s	48.12s
7	0.2639	1.0958	1428	0.11 hr	32.78s	15.44s	48.24s
8	0.1926	1.0279	1632	0.13 hr	32.78s	15.48s	48.28s
9	0.3822	1.0474	1836	0.14 hr	32.62s	15.46s	48.10s
10	0.4966	1.0014	2040	0.15 hr	32.73s	15.43s	48.18s
11	0.3261	1.0115	2244	0.17 hr	32.48s	15.61s	48.10s
12	0.3597	0.9955	2448	0.18 hr	32.51s	15.44s	47.96s
13	0.3213	0.9435	2652	0.19 hr	32.79s	15.45s	48.27s
14	0.3868	0.9772	2856	0.21 hr	32.46s	15.46s	47.93s
15	0.5501	0.9859	3060	0.22 hr	32.50s	15.45s	47.97s
16	0.2188	0.9651	3264	0.23 hr	32.85s	15.46s	48.33s
17	0.4980	0.9128	3468	0.25 hr	32.63s	15.43s	48.08s
18	0.5276	0.9216	3672	0.26 hr	32.60s	15.46s	48.08s
19	0.6750	0.9227	3876	0.27 hr	32.60s	15.47s	48.09s
20	0.6997	0.7489	4080	0.29 hr	32.45s	15.44s	47.92s
21	0.6851	0.7488	4284	0.30 hr	32.74s	15.47s	48.23s
22	0.6526	0.8239	4488	0.32 hr	32.55s	15.43s	48.00s
23	0.6349	0.7719	4692	0.33 hr	32.51s	15.45s	47.98s
24	0.5634	0.7395	4896	0.34 hr	32.71s	15.44s	48.17s
25	0.7700	0.6864	5100	0.36 hr	32.63s	15.42s	48.06s
26	0.7318	0.8100	5304	0.37 hr	32.46s	15.43s	47.91s
27	0.7247	0.6932	5508	0.38 hr	32.78s	15.46s	48.27s
28	0.7507	0.7225	5712	0.40 hr	32.96s	15.47s	48.45s
29	0.7729	0.5790	5916	0.41 hr	32.80s	15.46s	48.28s
30	0.7417	0.5688	6120	0.42 hr	32.54s	15.43s	47.99s
31	0.7183	0.7156	6324	0.44 hr	32.66s	15.59s	48.27s
32	0.7885	0.5681	6528	0.45 hr	32.49s	15.45s	47.96s
33	0.7051	0.7233	6732	0.46 hr	32.59s	15.59s	48.21s
34	0.7541	0.6043	6936	0.48 hr	32.46s	15.45s	47.93s
35	0.7965	0.7091	7140	0.49 hr	32.49s	15.43s	47.94s
36	0.6496	0.5968	7344	0.50 hr	32.56s	15.47s	48.05s
37	0.7548	0.6405	7548	0.52 hr	32.52s	15.46s	48.00s
38	0.7992	0.5459	7752	0.53 hr	32.50s	15.43s	47.95s
39	0.7823	0.6045	7956	0.54 hr	32.62s	15.43s	48.07s
40	0.6549	0.5985	8160	0.56 hr	32.42s	15.46s	47.90s
41	0.7330	0.5785	8364	0.57 hr	32.46s	15.44s	47.92s
42	0.7325	0.6507	8568	0.59 hr	32.67s	15.42s	48.11s
43	0.7983	0.4869	8772	0.60 hr	32.60s	15.45s	48.07s
44	0.7181	0.4977	8976	0.61 hr	32.54s	15.46s	48.02s
45	0.7649	0.5402	9180	0.63 hr	32.62s	15.44s	48.08s
46	0.8088	0.5709	9384	0.64 hr	32.65s	15.42s	48.09s
47	0.7834	0.5169	9588	0.65 hr	32.58s	15.46s	48.06s
48	0.7719	0.5184	9792	0.67 hr	32.53s	15.45s	47.99s
49	0.8205	0.4851	9996	0.68 hr	32.63s	15.42s	48.07s
50	0.8170	0.5392	10200	0.69 hr	32.55s	15.44s	48.01s
51	0.7317	0.7320	10404	0.71 hr	32.48s	15.55s	48.06s
52	0.7807	0.6309	10608	0.72 hr	32.67s	15.46s	48.15s
53	0.8058	0.5377	10812	0.73 hr	32.74s	15.46s	48.23s
54	0.5958	0.5541	11016	0.75 hr	32.49s	15.45s	47.96s
55	0.7863	0.5515	11220	0.76 hr	32.46s	15.42s	47.90s
56	0.7996	0.5051	11424	0.77 hr	32.77s	15.45s	48.25s
57	0.7618	0.6640	11628	0.79 hr	32.45s	15.43s	47.90s
58	0.7945	0.4816	11832	0.80 hr	32.61s	15.45s	48.08s
59	0.7880	0.4921	12036	0.81 hr	32.60s	15.44s	48.05s
60	0.8222	0.4793	12240	0.83 hr	32.72s	15.45s	48.19s
61	0.8082	0.4295	12444	0.84 hr	32.46s	15.45s	47.93s
62	0.7454	0.4904	12648	0.85 hr	32.57s	15.45s	48.04s
63	0.7738	0.5738	12852	0.87 hr	32.46s	15.47s	47.94s
64	0.8231	0.4428	13056	0.88 hr	32.55s	15.48s	48.05s
65	0.7274	0.4659	13260	0.89 hr	32.72s	15.43s	48.18s
66	0.8263	0.5170	13464	0.91 hr	32.60s	15.46s	48.08s
67	0.6409	0.6291	13668	0.92 hr	32.49s	15.46s	47.97s
68	0.7152	0.5762	13872	0.94 hr	32.65s	15.43s	48.10s
69	0.8237	0.5087	14076	0.95 hr	32.82s	15.43s	48.27s
70	0.8254	0.4670	14280	0.96 hr	32.59s	15.45s	48.06s
71	0.8065	0.5159	14484	0.98 hr	32.77s	15.44s	48.23s
72	0.8178	0.4761	14688	0.99 hr	32.61s	15.46s	48.08s
73	0.7340	0.4859	14892	1.00 hr	32.56s	15.46s	48.04s
74	0.8072	0.5026	15096	1.02 hr	32.65s	15.61s	48.29s
75	0.7774	0.4057	15300	1.03 hr	32.52s	15.45s	47.98s
76	0.7739	0.4912	15504	1.04 hr	32.58s	15.46s	48.05s
77	0.8085	0.4592	15708	1.06 hr	32.42s	15.47s	47.91s
78	0.8209	0.4218	15912	1.07 hr	32.46s	15.44s	47.93s
79	0.8211	0.4350	16116	1.08 hr	32.69s	15.45s	48.16s
80	0.7934	0.4066	16320	1.10 hr	32.62s	15.44s	48.09s
81	0.7422	0.4991	16524	1.11 hr	32.48s	15.45s	47.95s
82	0.8011	0.5073	16728	1.12 hr	32.62s	15.45s	48.09s
83	0.7384	0.4733	16932	1.14 hr	32.67s	15.45s	48.14s
84	0.7341	0.4400	17136	1.15 hr	32.58s	15.46s	48.06s
85	0.8262	0.4645	17340	1.16 hr	32.58s	15.44s	48.04s
86	0.8278	0.4767	17544	1.18 hr	32.80s	15.45s	48.27s
87	0.7631	0.4239	17748	1.19 hr	32.91s	15.44s	48.36s
88	0.8370	0.4465	17952	1.20 hr	32.64s	15.47s	48.13s
89	0.7985	0.4644	18156	1.22 hr	32.47s	15.44s	47.93s
90	0.6083	0.4579	18360	1.23 hr	32.63s	15.46s	48.11s
91	0.8350	0.4178	18564	1.24 hr	32.54s	15.46s	48.03s
92	0.8284	0.3871	18768	1.26 hr	32.47s	15.46s	47.95s
93	0.8294	0.3584	18972	1.27 hr	32.54s	15.47s	48.03s
94	0.8443	0.3443	19176	1.29 hr	32.48s	15.54s	48.04s
95	0.8395	0.3566	19380	1.30 hr	32.43s	15.46s	47.91s
96	0.8224	0.4044	19584	1.31 hr	32.73s	15.44s	48.19s
97	0.8382	0.4204	19788	1.33 hr	32.58s	15.63s	48.23s
98	0.8439	0.3657	19992	1.34 hr	32.51s	15.45s	47.97s
99	0.8461	0.3442	20196	1.35 hr	32.58s	15.45s	48.05s
100	0.8405	0.3795	20400	1.37 hr	32.51s	15.44s	47.96s
101	0.7976	0.5287	20604	1.38 hr	32.47s	15.46s	47.95s
102	0.8195	0.3890	20808	1.39 hr	32.58s	15.44s	48.04s
103	0.8316	0.3655	21012	1.41 hr	32.64s	15.46s	48.12s
104	0.8243	0.3773	21216	1.42 hr	32.81s	15.46s	48.29s
105	0.7850	0.3935	21420	1.43 hr	32.61s	15.45s	48.08s
106	0.8223	0.3846	21624	1.45 hr	32.66s	15.45s	48.13s
107	0.8315	0.4459	21828	1.46 hr	32.59s	15.46s	48.07s
108	0.7560	0.4034	22032	1.47 hr	32.81s	15.46s	48.29s
109	0.8399	0.4001	22236	1.49 hr	32.50s	15.44s	47.96s
110	0.8340	0.3381	22440	1.50 hr	32.56s	15.46s	48.04s
111	0.8365	0.4723	22644	1.51 hr	32.82s	15.46s	48.30s
112	0.8426	0.3858	22848	1.53 hr	32.81s	15.46s	48.30s
113	0.8481	0.3603	23052	1.54 hr	32.60s	15.46s	48.08s
114	0.8493	0.3234	23256	1.55 hr	32.59s	15.46s	48.07s
115	0.8452	0.3313	23460	1.57 hr	32.71s	15.43s	48.17s
116	0.8476	0.3494	23664	1.58 hr	32.94s	15.43s	48.40s
117	0.8512	0.3288	23868	1.60 hr	32.56s	15.45s	48.03s
118	0.8461	0.3323	24072	1.61 hr	32.61s	15.45s	48.08s
119	0.8491	0.3549	24276	1.62 hr	33.03s	15.45s	48.51s
120	0.8483	0.3235	24480	1.64 hr	32.94s	15.44s	48.40s
121	0.8496	0.3144	24684	1.65 hr	32.47s	15.43s	47.92s
122	0.8013	0.4011	24888	1.66 hr	32.85s	15.46s	48.33s
123	0.8339	0.3864	25092	1.68 hr	32.63s	15.46s	48.11s
124	0.8357	0.4239	25296	1.69 hr	32.54s	15.44s	48.01s
125	0.8299	0.4076	25500	1.70 hr	32.80s	15.46s	48.28s
126	0.8160	0.4019	25704	1.72 hr	32.51s	15.45s	47.98s
127	0.8173	0.3411	25908	1.73 hr	32.61s	15.46s	48.09s
128	0.8461	0.3345	26112	1.74 hr	32.55s	15.45s	48.01s
129	0.8485	0.3467	26316	1.76 hr	32.50s	15.46s	47.98s
130	0.8514	0.3334	26520	1.77 hr	32.66s	15.44s	48.13s
131	0.8525	0.3202	26724	1.78 hr	32.56s	15.45s	48.03s
132	0.8427	0.3349	26928	1.80 hr	32.69s	15.46s	48.17s
133	0.8484	0.3534	27132	1.81 hr	32.54s	15.45s	48.01s
